user_location,date,text,sentiment,hour,minute,Date,refined text,lowercase text,non-punctuated text,non-extraspace text,tokenized text,non-stopwords text,stemmed text
Turkey-Israel,2020-12-12 19:29:00,"while deaths are closing in on the 300,000 mark... millions of people wait #PfizerBioNTech #Vaccine !
-
The first U… https://t.co/uQ3A2f7SVP",NEG,19,29,2020-12-12,"while deaths are closing in on the 300,000 mark... millions of people wait   !
-
The first U… ","while deaths are closing in on the 300,000 mark... millions of people wait   !
-
the first u… ",while deaths are closing in on the         mark    millions of people wait       the first u  ,while deaths are closing in on the mark millions of people wait the first u,"['while', 'deaths', 'are', 'closing', 'in', 'on', 'the', 'mark', 'millions', 'of', 'people', 'wait', 'the', 'first', 'u']","['deaths', 'closing', 'mark', 'millions', 'people', 'wait', 'first', 'u']","['death', 'close', 'mark', 'million', 'peopl', 'wait', 'first', 'u']"
No Location,2020-12-12 19:22:00,@cnnbrk #COVID19 #CovidVaccine #vaccine #Corona   #PfizerBioNTech #bbcnews #NYTimes #BBCNews Best wishes to the US… https://t.co/9xWmfU3LZj,POS,19,22,2020-12-12,           Best wishes to the US… ,           best wishes to the us… ,           best wishes to the us  ,best wishes to the us,"['best', 'wishes', 'to', 'the', 'us']","['best', 'wishes', 'us']","['best', 'wish', 'us']"
India,2020-12-12 17:45:00,The agency also released new information for health care providers and for patients as the US shipped millions of d… https://t.co/sG6BtD7jD9,NEU,17,45,2020-12-12,The agency also released new information for health care providers and for patients as the US shipped millions of d… ,the agency also released new information for health care providers and for patients as the us shipped millions of d… ,the agency also released new information for health care providers and for patients as the us shipped millions of d  ,the agency also released new information for health care providers and for patients as the us shipped millions of d,"['the', 'agency', 'also', 'released', 'new', 'information', 'for', 'health', 'care', 'providers', 'and', 'for', 'patients', 'as', 'the', 'us', 'shipped', 'millions', 'of', 'd']","['agency', 'also', 'released', 'new', 'information', 'health', 'care', 'providers', 'patients', 'us', 'shipped', 'millions']","['agenc', 'also', 'releas', 'new', 'inform', 'health', 'care', 'provid', 'patient', 'us', 'ship', 'million']"
No Location,2020-12-12 17:19:00,For all the women and healthcare providers who have been asking about the safety of the #PfizerBioNTech… https://t.co/ow0Pglkwte,NEU,17,19,2020-12-12,For all the women and healthcare providers who have been asking about the safety of the  ,for all the women and healthcare providers who have been asking about the safety of the  ,for all the women and healthcare providers who have been asking about the safety of the  ,for all the women and healthcare providers who have been asking about the safety of the,"['for', 'all', 'the', 'women', 'and', 'healthcare', 'providers', 'who', 'have', 'been', 'asking', 'about', 'the', 'safety', 'of', 'the']","['women', 'healthcare', 'providers', 'asking', 'safety']","['women', 'healthcar', 'provid', 'ask', 'safeti']"
No Location,2020-12-12 17:10:00,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… https://t.co/HiUVYJzOBY",NEU,17,10,2020-12-12,"""Expect 145 sites across all the states to receive vaccine on Monday, another 425 sites on Tuesday,"" said the offic… ","""expect 145 sites across all the states to receive vaccine on monday, another 425 sites on tuesday,"" said the offic… ", expect     sites across all the states to receive vaccine on monday  another     sites on tuesday   said the offic  ,expect sites across all the states to receive vaccine on monday another sites on tuesday said the offic,"['expect', 'sites', 'across', 'all', 'the', 'states', 'to', 'receive', 'vaccine', 'on', 'monday', 'another', 'sites', 'on', 'tuesday', 'said', 'the', 'offic']","['expect', 'sites', 'across', 'states', 'receive', 'vaccine', 'monday', 'another', 'sites', 'tuesday', 'said', 'offic']","['expect', 'site', 'across', 'state', 'receiv', 'vaccin', 'monday', 'anoth', 'site', 'tuesday', 'said', 'offic']"
"London, England",2020-12-12 16:00:00,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/2FzQSMnhoY",NEU,16,0,2020-12-12,"Trump announces  rollout 'in less than 24 hours'

The first Americans will be vaccinated against… ","trump announces  rollout 'in less than 24 hours'

the first americans will be vaccinated against… ",trump announces  rollout  in less than    hours   the first americans will be vaccinated against  ,trump announces rollout in less than hours the first americans will be vaccinated against,"['trump', 'announces', 'rollout', 'in', 'less', 'than', 'hours', 'the', 'first', 'americans', 'will', 'be', 'vaccinated', 'against']","['trump', 'announces', 'rollout', 'less', 'hours', 'first', 'americans', 'vaccinated']","['trump', 'announc', 'rollout', 'less', 'hour', 'first', 'american', 'vaccin']"
Global,2020-12-12 15:59:00,"UPDATED: #YellowFever &amp; #COVID19 #ImmunityPassports - Part Two

#SARSCoV2 #PfizerBioNtech #Britain #December… https://t.co/qKT7Rst9aW",NEU,15,59,2020-12-12,"UPDATED:  &amp;   - Part Two

    ","updated:  &amp;   - part two

    ",updated    amp      part two      ,updated amp part two,"['updated', 'amp', 'part', 'two']","['updated', 'amp', 'part', 'two']","['updat', 'amp', 'part', 'two']"
Türkiye,2020-12-12 15:38:00,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours #Iran #coronavirus #PfizerBioNTech… https://t.co/mwDNAdmb7F",NEU,15,38,2020-12-12,"Coronavirus: Iran reports 8,201 new cases, 221 deaths in the last 24 hours    ","coronavirus: iran reports 8,201 new cases, 221 deaths in the last 24 hours    ",coronavirus  iran reports       new cases      deaths in the last    hours    ,coronavirus iran reports new cases deaths in the last hours,"['coronavirus', 'iran', 'reports', 'new', 'cases', 'deaths', 'in', 'the', 'last', 'hours']","['coronavirus', 'iran', 'reports', 'new', 'cases', 'deaths', 'last', 'hours']","['coronaviru', 'iran', 'report', 'new', 'case', 'death', 'last', 'hour']"
"Bristol, UK",2020-12-12 15:27:00,.@Pfizer will rake in billions from its expensive #CovidVaccine but @AlbertBourla refuses to cut the price for lowe… https://t.co/eC94w3TUl0,NEU,15,27,2020-12-12,. will rake in billions from its expensive  but  refuses to cut the price for lowe… ,. will rake in billions from its expensive  but  refuses to cut the price for lowe… ,  will rake in billions from its expensive  but  refuses to cut the price for lowe  ,will rake in billions from its expensive but refuses to cut the price for lowe,"['will', 'rake', 'in', 'billions', 'from', 'its', 'expensive', 'but', 'refuses', 'to', 'cut', 'the', 'price', 'for', 'lowe']","['rake', 'billions', 'expensive', 'refuses', 'cut', 'price', 'lowe']","['rake', 'billion', 'expens', 'refus', 'cut', 'price', 'low']"
"Los Angeles, CA",2020-12-12 15:10:00,"The trump administration failed to deliver on vaccine promises, *shocker* #COVIDIOTS #coronavirus #CovidVaccine… https://t.co/hew6eHTUrD",NEG,15,10,2020-12-12,"The trump administration failed to deliver on vaccine promises, *shocker*    ","the trump administration failed to deliver on vaccine promises, *shocker*    ",the trump administration failed to deliver on vaccine promises   shocker     ,the trump administration failed to deliver on vaccine promises shocker,"['the', 'trump', 'administration', 'failed', 'to', 'deliver', 'on', 'vaccine', 'promises', 'shocker']","['trump', 'administration', 'failed', 'deliver', 'vaccine', 'promises', 'shocker']","['trump', 'administr', 'fail', 'deliv', 'vaccin', 'promis', 'shocker']"
No Location,2020-12-12 15:00:00,How much did the #fda get paid to approve this all of a sudden now? money makes the world go around. #vaccine… https://t.co/GT9qVVNbKj,NEU,15,0,2020-12-12,How much did the  get paid to approve this all of a sudden now? money makes the world go around.  ,how much did the  get paid to approve this all of a sudden now? money makes the world go around.  ,how much did the  get paid to approve this all of a sudden now  money makes the world go around   ,how much did the get paid to approve this all of a sudden now money makes the world go around,"['how', 'much', 'did', 'the', 'get', 'paid', 'to', 'approve', 'this', 'all', 'of', 'a', 'sudden', 'now', 'money', 'makes', 'the', 'world', 'go', 'around']","['much', 'get', 'paid', 'approve', 'sudden', 'money', 'makes', 'world', 'go', 'around']","['much', 'get', 'paid', 'approv', 'sudden', 'money', 'make', 'world', 'go', 'around']"
"Rochester, NY",2020-12-12 14:59:00,Anyone wondering why day after #PfizerBioNTech approval in the UK people were getting vaccinated but all we are tol… https://t.co/tPSyL9CUYE,NEU,14,59,2020-12-12,Anyone wondering why day after  approval in the UK people were getting vaccinated but all we are tol… ,anyone wondering why day after  approval in the uk people were getting vaccinated but all we are tol… ,anyone wondering why day after  approval in the uk people were getting vaccinated but all we are tol  ,anyone wondering why day after approval in the uk people were getting vaccinated but all we are tol,"['anyone', 'wondering', 'why', 'day', 'after', 'approval', 'in', 'the', 'uk', 'people', 'were', 'getting', 'vaccinated', 'but', 'all', 'we', 'are', 'tol']","['anyone', 'wondering', 'day', 'approval', 'uk', 'people', 'getting', 'vaccinated', 'tol']","['anyon', 'wonder', 'day', 'approv', 'uk', 'peopl', 'get', 'vaccin', 'tol']"
"London, England",2020-12-12 14:59:00,"Trump announces #vaccine rollout 'in less than 24 hours'

The first Americans will be vaccinated against… https://t.co/P9esXr3zpS",NEU,14,59,2020-12-12,"Trump announces  rollout 'in less than 24 hours'

The first Americans will be vaccinated against… ","trump announces  rollout 'in less than 24 hours'

the first americans will be vaccinated against… ",trump announces  rollout  in less than    hours   the first americans will be vaccinated against  ,trump announces rollout in less than hours the first americans will be vaccinated against,"['trump', 'announces', 'rollout', 'in', 'less', 'than', 'hours', 'the', 'first', 'americans', 'will', 'be', 'vaccinated', 'against']","['trump', 'announces', 'rollout', 'less', 'hours', 'first', 'americans', 'vaccinated']","['trump', 'announc', 'rollout', 'less', 'hour', 'first', 'american', 'vaccin']"
"Mumbai, India",2020-12-12 14:58:00,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… https://t.co/dPLokxGtBa,NEU,14,58,2020-12-12,The US Food and Drug Administration (FDA) has granted emergency use authorization to Pfizer-BioNTech's mRNA… ,the us food and drug administration (fda) has granted emergency use authorization to pfizer-biontech's mrna… ,the us food and drug administration  fda  has granted emergency use authorization to pfizer biontech s mrna  ,the us food and drug administration fda has granted emergency use authorization to pfizer biontech s mrna,"['the', 'us', 'food', 'and', 'drug', 'administration', 'fda', 'has', 'granted', 'emergency', 'use', 'authorization', 'to', 'pfizer', 'biontech', 's', 'mrna']","['us', 'food', 'drug', 'administration', 'fda', 'granted', 'emergency', 'use', 'authorization', 'pfizer', 'biontech', 'mrna']","['us', 'food', 'drug', 'administr', 'fda', 'grant', 'emerg', 'use', 'author', 'pfizer', 'biontech', 'mrna']"
No Location,2020-12-12 14:46:00,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!

#docnosofficial #covid19… https://t.co/qOd5TPLYvA",POS,14,46,2020-12-12,"Presenting you the top Medical News/Advancement of the past week you don't want to miss!

  ","presenting you the top medical news/advancement of the past week you don't want to miss!

  ",presenting you the top medical news advancement of the past week you don t want to miss     ,presenting you the top medical news advancement of the past week you don t want to miss,"['presenting', 'you', 'the', 'top', 'medical', 'news', 'advancement', 'of', 'the', 'past', 'week', 'you', 'don', 't', 'want', 'to', 'miss']","['presenting', 'top', 'medical', 'news', 'advancement', 'past', 'week', 'want', 'miss']","['present', 'top', 'medic', 'news', 'advanc', 'past', 'week', 'want', 'miss']"
"Nottingham, England",2020-12-12 14:43:00,"No.1 of 2 done.

#ThankYouNHS @NHSuk @MHRAgovuk and #PfizerBioNTech @pfizer for making the #CovidVaccine dream poss… https://t.co/3KvJ7UP432",NEU,14,43,2020-12-12,"No.1 of 2 done.

   and   for making the  dream poss… ","no.1 of 2 done.

   and   for making the  dream poss… ",no   of   done      and   for making the  dream poss  ,no of done and for making the dream poss,"['no', 'of', 'done', 'and', 'for', 'making', 'the', 'dream', 'poss']","['done', 'making', 'dream', 'poss']","['done', 'make', 'dream', 'poss']"
Turkey-Israel,2020-12-12 14:42:00,"Wear a mask, wash your hands, and remain socially distant when possible. #stayhome #StayAtHome #StayAtHomeSaveLives… https://t.co/Jrlrg6bm0w",NEU,14,42,2020-12-12,"Wear a mask, wash your hands, and remain socially distant when possible.    ","wear a mask, wash your hands, and remain socially distant when possible.    ",wear a mask  wash your hands  and remain socially distant when possible     ,wear a mask wash your hands and remain socially distant when possible,"['wear', 'a', 'mask', 'wash', 'your', 'hands', 'and', 'remain', 'socially', 'distant', 'when', 'possible']","['wear', 'mask', 'wash', 'hands', 'remain', 'socially', 'distant', 'possible']","['wear', 'mask', 'wash', 'hand', 'remain', 'social', 'distant', 'possibl']"
"Crete, Greece",2020-12-12 14:41:00,"⁦@AvgerinosMoscow⁩ #PfizerBioNTech #FDA approval Apprentice Style!
⁦@realDonaldTrump⁩: “Approve the #vaccine or you… https://t.co/f64cOP5DV6",NEU,14,41,2020-12-12,"⁦   approval Apprentice Style!
⁦ “Approve the  or you… ","⁦   approval apprentice style!
⁦ “approve the  or you… ",    approval apprentice style     approve the  or you  ,approval apprentice style approve the or you,"['approval', 'apprentice', 'style', 'approve', 'the', 'or', 'you']","['approval', 'apprentice', 'style', 'approve']","['approv', 'apprentic', 'style', 'approv']"
"Rome, Italy",2020-12-12 14:26:00,"Interesting and very detailed article showing up how a well tested #supplychain, with #sharedvisibility will help d… https://t.co/yt3vn67mVg",POS,14,26,2020-12-12,Interesting and very detailed article showing up how a well tested  with  will help d… ,interesting and very detailed article showing up how a well tested  with  will help d… ,interesting and very detailed article showing up how a well tested  with  will help d  ,interesting and very detailed article showing up how a well tested with will help d,"['interesting', 'and', 'very', 'detailed', 'article', 'showing', 'up', 'how', 'a', 'well', 'tested', 'with', 'will', 'help', 'd']","['interesting', 'detailed', 'article', 'showing', 'well', 'tested', 'help']","['interest', 'detail', 'articl', 'show', 'well', 'test', 'help']"
Not Today ,2020-12-12 14:11:00,💉 #Vaccine #TrumpVaccine #AstraZeneca #PfizerBioNTech #Pfizervaccine #PfizerCovidVaccine  #Pfizer's COVID-19 belong… https://t.co/ldxQhN6uix,NEU,14,11,2020-12-12,💉         COVID-19 belong… ,💉         covid-19 belong… ,          covid    belong  ,covid belong,"['covid', 'belong']","['covid', 'belong']","['covid', 'belong']"
London,2020-12-12 14:04:00,"@ZubyMusic 6 deaths so far. 
It's only death, nothing to worry about then 🤔
#CovidVaccines
#Pfizervaccine… https://t.co/HkGTDM5J3f",NEG,14,4,2020-12-12," 6 deaths so far. 
It's only death, nothing to worry about then 🤔

 "," 6 deaths so far. 
it's only death, nothing to worry about then 🤔

 ",   deaths so far   it s only death  nothing to worry about then     ,deaths so far it s only death nothing to worry about then,"['deaths', 'so', 'far', 'it', 's', 'only', 'death', 'nothing', 'to', 'worry', 'about', 'then']","['deaths', 'far', 'death', 'nothing', 'worry']","['death', 'far', 'death', 'noth', 'worri']"
"Berlin, Germany",2020-12-12 13:56:00,@sbnumb3 @nytimes Please don’t spread fake news! There is no evidence that these cases are linked to the… https://t.co/bMcAhIPR5g,NEG,13,56,2020-12-12,  Please don’t spread fake news! There is no evidence that these cases are linked to the… ,  please don’t spread fake news! there is no evidence that these cases are linked to the… ,  please don t spread fake news  there is no evidence that these cases are linked to the  ,please don t spread fake news there is no evidence that these cases are linked to the,"['please', 'don', 't', 'spread', 'fake', 'news', 'there', 'is', 'no', 'evidence', 'that', 'these', 'cases', 'are', 'linked', 'to', 'the']","['please', 'spread', 'fake', 'news', 'evidence', 'cases', 'linked']","['pleas', 'spread', 'fake', 'news', 'evid', 'case', 'link']"
"Cranbury, NJ",2020-12-12 13:00:00,"#ICYMI The #FDA Authorized the #PfizerBioNTech #COVID19 #Vaccine for the United States last night

https://t.co/CtYGB3fNnE",NEU,13,0,2020-12-12," The  Authorized the    for the United States last night

"," the  authorized the    for the united states last night

", the  authorized the    for the united states last night  ,the authorized the for the united states last night,"['the', 'authorized', 'the', 'for', 'the', 'united', 'states', 'last', 'night']","['authorized', 'united', 'states', 'last', 'night']","['author', 'unit', 'state', 'last', 'night']"
"Cork, Ireland",2020-12-12 12:54:00,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… https://t.co/Xv0SRv1Ukw,NEU,12,54,2020-12-12,All respect to due process but why not give approval now instead of the 29th of December. Surely multiple other cou… ,all respect to due process but why not give approval now instead of the 29th of december. surely multiple other cou… ,all respect to due process but why not give approval now instead of the   th of december  surely multiple other cou  ,all respect to due process but why not give approval now instead of the th of december surely multiple other cou,"['all', 'respect', 'to', 'due', 'process', 'but', 'why', 'not', 'give', 'approval', 'now', 'instead', 'of', 'the', 'th', 'of', 'december', 'surely', 'multiple', 'other', 'cou']","['respect', 'due', 'process', 'give', 'approval', 'instead', 'th', 'december', 'surely', 'multiple', 'cou']","['respect', 'due', 'process', 'give', 'approv', 'instead', 'th', 'decemb', 'sure', 'multipl', 'cou']"
"London, England",2020-12-12 12:54:00,Vaccine!! Anyone?? #covid #Pfizervaccine #PfizerBioNTech https://t.co/b9ZKwnlIkX,NEU,12,54,2020-12-12,Vaccine!! Anyone??    ,vaccine!! anyone??    ,vaccine   anyone      ,vaccine anyone,"['vaccine', 'anyone']","['vaccine', 'anyone']","['vaccin', 'anyon']"
"Nottinghamshire, England",2020-12-12 12:42:00,"An immigrant Muslim couple find the COVID-19 Vaccine. 

#CovidVaccine #PfizerBioNTech #Pfizervaccine #PfizerProud",NEU,12,42,2020-12-12,"An immigrant Muslim couple find the COVID-19 Vaccine. 

   ","an immigrant muslim couple find the covid-19 vaccine. 

   ",an immigrant muslim couple find the covid    vaccine       ,an immigrant muslim couple find the covid vaccine,"['an', 'immigrant', 'muslim', 'couple', 'find', 'the', 'covid', 'vaccine']","['immigrant', 'muslim', 'couple', 'find', 'covid', 'vaccine']","['immigr', 'muslim', 'coupl', 'find', 'covid', 'vaccin']"
No Location,2020-12-12 12:26:00,"The #FDA finally issues #EUA now comes the problem transporting this #PfizerBioNTech vaccine, needs to be kept at -… https://t.co/NvaGyoo2yD",NEG,12,26,2020-12-12,"The  finally issues  now comes the problem transporting this  vaccine, needs to be kept at -… ","the  finally issues  now comes the problem transporting this  vaccine, needs to be kept at -… ",the  finally issues  now comes the problem transporting this  vaccine  needs to be kept at    ,the finally issues now comes the problem transporting this vaccine needs to be kept at,"['the', 'finally', 'issues', 'now', 'comes', 'the', 'problem', 'transporting', 'this', 'vaccine', 'needs', 'to', 'be', 'kept', 'at']","['finally', 'issues', 'comes', 'problem', 'transporting', 'vaccine', 'needs', 'kept']","['final', 'issu', 'come', 'problem', 'transport', 'vaccin', 'need', 'kept']"
"دبي, الامارات العربية المتحدة",2020-12-12 12:20:00,"Ladies and Gentlemen, now we have #CovidVaccine experts in each and every household of #Pakistan #PfizerBioNTech #oxfordvaccine 🤦‍♂️",NEU,12,20,2020-12-12,"Ladies and Gentlemen, now we have  experts in each and every household of    🤦‍♂️","ladies and gentlemen, now we have  experts in each and every household of    🤦‍♂️",ladies and gentlemen  now we have  experts in each and every household of        ,ladies and gentlemen now we have experts in each and every household of,"['ladies', 'and', 'gentlemen', 'now', 'we', 'have', 'experts', 'in', 'each', 'and', 'every', 'household', 'of']","['ladies', 'gentlemen', 'experts', 'every', 'household']","['ladi', 'gentlemen', 'expert', 'everi', 'household']"
USA🇺🇸,2020-12-12 12:19:00,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE

#PfizerBioNTech 
#CovidVaccine 

https://t.co/xRaOiACZSD",NEU,12,19,2020-12-12,"FACT SHEET FOR HEALTHCARE PROVIDERS ADMINISTERING VACCINE

 
 

","fact sheet for healthcare providers administering vaccine

 
 

",fact sheet for healthcare providers administering vaccine       ,fact sheet for healthcare providers administering vaccine,"['fact', 'sheet', 'for', 'healthcare', 'providers', 'administering', 'vaccine']","['fact', 'sheet', 'healthcare', 'providers', 'administering', 'vaccine']","['fact', 'sheet', 'healthcar', 'provid', 'administ', 'vaccin']"
"Wales, United Kingdom",2020-12-12 12:19:00,@mirekR9 @sputnikvaccine @AstraZeneca check out table 23 of this and other tables too because it took the penny a w… https://t.co/5r6ibs8Jm8,NEU,12,19,2020-12-12,   check out table 23 of this and other tables too because it took the penny a w… ,   check out table 23 of this and other tables too because it took the penny a w… ,   check out table    of this and other tables too because it took the penny a w  ,check out table of this and other tables too because it took the penny a w,"['check', 'out', 'table', 'of', 'this', 'and', 'other', 'tables', 'too', 'because', 'it', 'took', 'the', 'penny', 'a', 'w']","['check', 'table', 'tables', 'took', 'penny', 'w']","['check', 'tabl', 'tabl', 'took', 'penni', 'w']"
"Wales, United Kingdom",2020-12-12 12:16:00,"@mirekR9 @sputnikvaccine @AstraZeneca it's the only one which doesn't have any side effects 

the #PfizerBioNTech a… https://t.co/IWELAATAmd",NEU,12,16,2020-12-12,"   it's the only one which doesn't have any side effects 

the  a… ","   it's the only one which doesn't have any side effects 

the  a… ",   it s the only one which doesn t have any side effects   the  a  ,it s the only one which doesn t have any side effects the a,"['it', 's', 'the', 'only', 'one', 'which', 'doesn', 't', 'have', 'any', 'side', 'effects', 'the', 'a']","['one', 'side', 'effects']","['one', 'side', 'effect']"
